sample,subject
ERR14098576,MQB_014
ERR14098636,MQB_014
ERR14098585,MQB_023
ERR14098638,MQB_023
ERR14098593,MQB_032
ERR14098641,MQB_032
ERR14098601,MQB_041
ERR14098609,MQB_059
ERR14098644,MQB_059
ERR14098617,MQB_068
ERR14098647,MQB_068
ERR14098625,MQB_086
ERR14098650,MQB_086
ERR14098633,MQB_095
ERR14098653,MQB_095
